name,size,dim,threshold,target,baseline,ratio
o3_1024,1024,3,1.8,3.036 s,3.057 s,0.993
dragon2000,2000,1,,3.588 s,2.833 s,1.267
o3_4096,4096,3,1.4,76.052 s,76.177 s,0.998
fract-r,512,2,,25.399 s,19.482 s,1.304
random16,50,2,,9.839 ms,10.561 ms,0.932
sphere_3_192,192,2,,1.734 s,1.491 s,1.163
